,SITE NAME,z_score,in_deformation
138,Bom Jesus da La,0.8146655649911082,False
139,Natal - INPE,0.21910916951297899,False
140,Recif,0.8584491871253942,False
141,Docas do Ceara,0.16319406855832727,False
142,Forteleza,2.4094275128896463,False
143,Salvador,2.069871262868672,False
144,Sao Luis,0.7483212136082368,False
145,Salvador INCRA,0.03339697493064563,False
146,Petrolina,0.8183594436622716,False
147,Crato,0.25488300010328185,False
148,Managua,4.78636412646591,True
149,TheRockDDBGA201,0.37663605857254207,False
150,Fort Stockton,4.965037420108663,False
151,FORT DAVIS,1.065412733908995,False
152,Charleston Port,1.7344275036978922,False
153,Bumstead_Nunata,0.7055857077202441,False
154,Columbia County,1.2700238513119584,False
155,Kermit,4.783626510646248,False
156,Hermosillo,1.5594814353403266,False
157,Longs - South C,0.5989647210872407,False
